severity_threshold,feature_set,model_variant,cutoff_method,probability_cutoff,split,train_failure_rate,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,AP,TN,FP,FN,TP,actual_failure_rate,predicted_failure_rate,always_normal_accuracy,rows
13,original_features,balanced,fixed_0.5,0.5,Test,0.08929503916449086,0.616969696969697,0.12368024132730016,0.6165413533834586,0.20603015075376885,0.6662238985730642,0.14174907188413552,0.1465928045642101,936,581,51,82,0.08060606060606061,0.4018181818181818,0.9193939393939394,1650
13,original_features,balanced,validation_F1,0.51,Test,0.08929503916449086,0.6363636363636364,0.1264,0.5939849624060151,0.20844327176781002,0.6662238985730642,0.14174907188413552,0.1465928045642101,971,546,54,79,0.08060606060606061,0.3787878787878788,0.9193939393939394,1650
14,original_features,default,fixed_0.5,0.5,Validation,0.07023498694516972,0.9298780487804879,0.0,0.0,0.0,0.6483079116179615,0.1448166177583731,0.15051483694618822,1525,0,115,0,0.0701219512195122,0.0,0.9298780487804879,1640
14,original_features,default,validation_F1,0.08,Validation,0.07023498694516972,0.676219512195122,0.11481481481481481,0.5391304347826087,0.18931297709923664,0.6483079116179615,0.1448166177583731,0.15051483694618822,1047,478,53,62,0.0701219512195122,0.32926829268292684,0.9298780487804879,1640
14,original_features,default,fixed_0.5,0.5,Test,0.07023498694516972,0.9357575757575758,0.0,0.0,0.0,0.6529230618828821,0.11475506345527085,0.11766708190109391,1544,0,106,0,0.06424242424242424,0.0,0.9357575757575758,1650
14,original_features,default,validation_F1,0.08,Test,0.07023498694516972,0.6775757575757576,0.10112359550561797,0.5094339622641509,0.16875,0.6529230618828821,0.11475506345527085,0.11766708190109391,1064,480,52,54,0.06424242424242424,0.3236363636363636,0.9357575757575758,1650
14,original_features,balanced,fixed_0.5,0.5,Validation,0.07023498694516972,0.6182926829268293,0.1111111111111111,0.6347826086956522,0.18911917098445596,0.6557320028510335,0.14284976153422002,0.14837544145053738,941,584,42,73,0.0701219512195122,0.400609756097561,0.9298780487804879,1640
14,original_features,balanced,validation_F1,0.52,Validation,0.07023498694516972,0.6591463414634147,0.11855670103092783,0.6,0.19799139167862267,0.6557320028510335,0.14284976153422002,0.14837544145053738,1012,513,46,69,0.0701219512195122,0.3548780487804878,0.9298780487804879,1640
14,original_features,balanced,fixed_0.5,0.5,Test,0.07023498694516972,0.616969696969697,0.09908536585365854,0.6132075471698113,0.17060367454068243,0.6641900479030209,0.10490957136993839,0.11004425192157873,953,591,41,65,0.06424242424242424,0.3975757575757576,0.9357575757575758,1650
14,original_features,balanced,validation_F1,0.52,Test,0.07023498694516972,0.6551515151515152,0.10427350427350428,0.5754716981132075,0.17655571635311143,0.6641900479030209,0.10490957136993839,0.11004425192157873,1020,524,45,61,0.06424242424242424,0.35454545454545455,0.9357575757575758,1650
7,enhanced_features,default,fixed_0.5,0.5,Validation,0.3612271540469974,0.6426829268292683,0.5027932960893855,0.30612244897959184,0.38054968287526425,0.6591461679728925,0.47749158261844715,0.47853152112053843,874,178,408,180,0.35853658536585364,0.21829268292682927,0.6414634146341464,1640
7,enhanced_features,default,validation_F1,0.23,Validation,0.3612271540469974,0.5073170731707317,0.4169184290030212,0.9387755102040817,0.5774058577405857,0.6591461679728925,0.47749158261844715,0.47853152112053843,280,772,36,552,0.35853658536585364,0.8073170731707318,0.6414634146341464,1640
7,enhanced_features,default,fixed_0.5,0.5,Test,0.3612271540469974,0.6351515151515151,0.49291784702549574,0.2914572864321608,0.3663157894736842,0.6716742942315248,0.4810684713576483,0.482761282762318,874,179,423,174,0.3618181818181818,0.21393939393939393,0.6381818181818182,1650
7,enhanced_features,default,validation_F1,0.23,Test,0.3612271540469974,0.4909090909090909,0.4129032258064516,0.964824120603015,0.5783132530120482,0.6716742942315248,0.4810684713576483,0.482761282762318,234,819,21,576,0.3618181818181818,0.8454545454545455,0.6381818181818182,1650
7,enhanced_features,balanced,fixed_0.5,0.5,Validation,0.3612271540469974,0.6091463414634146,0.46691635455680397,0.6360544217687075,0.5385169186465083,0.6598008975453299,0.4760613839441936,0.47710414357528097,625,427,214,374,0.35853658536585364,0.48841463414634145,0.6414634146341464,1640
7,enhanced_features,balanced,validation_F1,0.35,Validation,0.3612271540469974,0.5128048780487805,0.4191570881226054,0.9302721088435374,0.5779186476492341,0.6598008975453299,0.4760613839441936,0.47710414357528097,294,758,41,547,0.35853658536585364,0.7957317073170732,0.6414634146341464,1640
7,enhanced_features,balanced,fixed_0.5,0.5,Test,0.3612271540469974,0.6042424242424242,0.4675925925925926,0.6767169179229481,0.5530458590006845,0.6723344484371843,0.4807156035905501,0.48240863069337564,593,460,193,404,0.3618181818181818,0.5236363636363637,0.6381818181818182,1650
