threshold,label,count,ratio
7,0,6998,0.6390867579908676
7,1,3952,0.36091324200913244
10,0,8636,0.788675799086758
10,1,2314,0.211324200913242
11,0,9260,0.845662100456621
11,1,1690,0.154337899543379
12,0,9571,0.8740639269406393
12,1,1379,0.12593607305936072
13,0,9995,0.9127853881278539
13,1,955,0.08721461187214612
14,0,10191,0.9306849315068493
14,1,759,0.06931506849315068
