scope_kind,scope_name,model,status,threshold,train_rows,valid_rows,test_rows,train_positive_rate,valid_positive_rate,test_positive_rate,accuracy,precision,recall,f1,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive
overall,all,prior,ok,0.09847527472527473,145600,36400,37000,0.09847527472527473,0.09917582417582417,0.09967567567567567,0.09967567567567567,0.09967567567567567,1.0,0.18128195045222179,0.5,0.09967567567567567,0,33312,0,3688
overall,all,hist_gradient_boosting,ok,0.11635723440232394,145600,36400,37000,0.09847527472527473,0.09917582417582417,0.09967567567567567,0.4898918918918919,0.14318609022556392,0.8261930585683297,0.24407241268824095,0.6815153835113908,0.15343549650791447,15079,18233,641,3047
machine_type,Belt Conveyor,prior,ok,0.08578296703296703,29120,7280,7400,0.08578296703296703,0.08269230769230769,0.08621621621621621,0.08621621621621621,0.08621621621621621,1.0,0.15874595670564817,0.5,0.08621621621621621,0,6762,0,638
machine_type,Belt Conveyor,hist_gradient_boosting,ok,0.03622373296806702,29120,7280,7400,0.08578296703296703,0.08269230769230769,0.08621621621621621,0.36945945945945946,0.12,0.9968652037617555,0.21421353991242842,0.6612134563516016,0.12249650964814368,2098,4664,2,636
machine_type,CNC Lathe,prior,ok,0.09285714285714286,29120,7280,7400,0.09285714285714286,0.08901098901098901,0.08513513513513514,0.08513513513513514,0.08513513513513514,1.0,0.1569115815691158,0.5,0.08513513513513514,0,6770,0,630
machine_type,CNC Lathe,hist_gradient_boosting,ok,0.05899353858894961,29120,7280,7400,0.09285714285714286,0.08901098901098901,0.08513513513513514,0.3662162162162162,0.11842105263157894,1.0,0.21176470588235294,0.6668472017068768,0.12593761901942324,2080,4690,0,630
machine_type,EOT Crane,prior,ok,0.09557005494505494,29120,7280,7400,0.09557005494505494,0.1076923076923077,0.09878378378378379,0.09878378378378379,0.09878378378378379,1.0,0.17980568195793875,0.5,0.09878378378378379,0,6669,0,731
machine_type,EOT Crane,hist_gradient_boosting,ok,0.12241283671858602,29120,7280,7400,0.09557005494505494,0.1076923076923077,0.09878378378378379,0.659054054054054,0.15271317829457365,0.5389876880984952,0.2379945635759589,0.6842426286230736,0.1601908461729204,4483,2186,337,394
machine_type,Hydraulic Press,prior,ok,0.11383928571428571,29120,7280,7400,0.11383928571428571,0.10961538461538461,0.11418918918918919,0.11418918918918919,0.11418918918918919,1.0,0.20497271073377804,0.5,0.11418918918918919,0,6555,0,845
machine_type,Hydraulic Press,hist_gradient_boosting,ok,0.0617692340953761,29120,7280,7400,0.11383928571428571,0.10961538461538461,0.11418918918918919,0.4039189189189189,0.15711538461538463,0.9668639053254438,0.27030603804797354,0.6617501433026869,0.16192812908979498,2172,4383,28,817
machine_type,Screw Compressor,prior,ok,0.10432692307692308,29120,7280,7400,0.10432692307692308,0.10686813186813186,0.11405405405405405,0.11405405405405405,0.11405405405405405,1.0,0.20475497331392528,0.5,0.11405405405405405,0,6556,0,844
machine_type,Screw Compressor,hist_gradient_boosting,ok,0.05816861995634675,29120,7280,7400,0.10432692307692308,0.10686813186813186,0.11405405405405405,0.40243243243243243,0.15858778625954198,0.9845971563981043,0.27317554240631164,0.6793191143599872,0.17136927843213445,2147,4409,13,831
asset_tag,AST-1041,prior,ok,0.09642857142857143,14560,3640,3700,0.09642857142857143,0.09532967032967032,0.08648648648648649,0.08648648648648649,0.08648648648648649,1.0,0.15920398009950248,0.5,0.08648648648648649,0,3380,0,320
asset_tag,AST-1041,hist_gradient_boosting,ok,0.023568895473920756,14560,3640,3700,0.09642857142857143,0.09532967032967032,0.08648648648648649,0.37189189189189187,0.12045454545454545,0.99375,0.21486486486486486,0.6568602071005918,0.1258927759778011,1058,2322,2,318
asset_tag,AST-1042,prior,ok,0.08928571428571429,14560,3640,3700,0.08928571428571429,0.08269230769230769,0.08378378378378379,0.08378378378378379,0.08378378378378379,1.0,0.1546134663341646,0.5,0.08378378378378379,0,3390,0,310
asset_tag,AST-1042,hist_gradient_boosting,ok,0.025518048497278605,14560,3640,3700,0.08928571428571429,0.08269230769230769,0.08378378378378379,0.36864864864864866,0.11628787878787879,0.9903225806451613,0.20813559322033898,0.6602816633361881,0.12102778493290545,1057,2333,3,307
asset_tag,AST-2017,prior,ok,0.12032967032967033,14560,3640,3700,0.12032967032967033,0.1217032967032967,0.12216216216216216,0.12216216216216216,0.12216216216216216,1.0,0.21772639691714837,0.5,0.12216216216216216,0,3248,0,452
