scope_kind,scope_name,model,status,threshold,train_rows,valid_rows,test_rows,train_positive_rate,valid_positive_rate,test_positive_rate,accuracy,precision,recall,f1,roc_auc,average_precision,true_negative,false_positive,false_negative,true_positive
overall,all,prior,ok,0.5090423772490558,129999,31541,32061,0.5090423772490558,0.5097492153070606,0.5089360905773369,0.5089360905773369,0.5089360905773369,1.0,0.6745628178097482,0.5,0.5089360905773369,0,15744,0,16317
overall,all,hist_gradient_boosting,ok,0.19602486663310573,129999,31541,32061,0.5090423772490558,0.5097492153070606,0.5089360905773369,0.5089360905773369,0.5089360905773369,1.0,0.6745628178097482,0.6067980487487239,0.6069121286839002,0,15744,0,16317
machine_type,Belt Conveyor,prior,ok,0.45920728238194575,26365,6425,6498,0.45920728238194575,0.45431906614785994,0.4598337950138504,0.4598337950138504,0.4598337950138504,1.0,0.6299810246679317,0.5,0.4598337950138504,0,3510,0,2988
machine_type,Belt Conveyor,hist_gradient_boosting,ok,0.10191375005243833,26365,6425,6498,0.45920728238194575,0.45431906614785994,0.4598337950138504,0.4598337950138504,0.4598337950138504,1.0,0.6299810246679317,0.5679185402578977,0.5171036002848656,0,3510,0,2988
machine_type,CNC Lathe,prior,ok,0.48530367312617056,26163,6380,6514,0.48530367312617056,0.4719435736677116,0.4498004298434142,0.4498004298434142,0.4498004298434142,1.0,0.6204997882253283,0.5,0.4498004298434142,0,3584,0,2930
machine_type,CNC Lathe,hist_gradient_boosting,ok,0.10108383840667855,26163,6380,6514,0.48530367312617056,0.4719435736677116,0.4498004298434142,0.4498004298434142,0.4498004298434142,1.0,0.6204997882253283,0.5781342371099463,0.5294503450880905,0,3584,0,2930
machine_type,EOT Crane,prior,ok,0.500210832981945,26087,6257,6418,0.500210832981945,0.539875339619626,0.5105952009971954,0.5105952009971954,0.5105952009971954,1.0,0.6760185662712739,0.5,0.5105952009971954,0,3141,0,3277
machine_type,EOT Crane,hist_gradient_boosting,ok,0.19656685190002468,26087,6257,6418,0.500210832981945,0.539875339619626,0.5105952009971954,0.5098161421003428,0.5103918768840234,0.9816905706438815,0.67160751565762,0.5680228429707521,0.5799551274281878,55,3086,60,3217
machine_type,Hydraulic Press,prior,ok,0.5684264078581771,25553,6231,6315,0.5684264078581771,0.5454983148772268,0.5513855898653999,0.5513855898653999,0.5513855898653999,1.0,0.710829845871185,0.5,0.5513855898653999,0,2833,0,3482
machine_type,Hydraulic Press,hist_gradient_boosting,ok,0.09125760486232207,25553,6231,6315,0.5684264078581771,0.5454983148772268,0.5513855898653999,0.5513855898653999,0.5513855898653999,1.0,0.710829845871185,0.551188777218038,0.5946548997910375,0,2833,0,3482
